----------------------------------------------------------------------
Mayur Process Log
----------------------------------------------------------------------
Content of log file{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4324, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'SystemSettingsBroker.exe'}
{'pid': 4424, 'username': None, 'name': 'svchost.exe'}
{'pid': 4444, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'GitHubDesktop.exe'}
{'pid': 4612, 'username': None, 'name': 'Dell.TechHub.exe'}
{'pid': 4628, 'username': None, 'name': 'svchost.exe'}
{'pid': 4640, 'username': None, 'name': 'svchost.exe'}
{'pid': 4660, 'username': None, 'name': 'OfficeClickToRun.exe'}
{'pid': 4668, 'username': None, 'name': 'svchost.exe'}
{'pid': 4708, 'username': None, 'name': 'OneApp.IGCC.WinService.exe'}
{'pid': 4732, 'username': None, 'name': 'esif_uf.exe'}
{'pid': 4756, 'username': None, 'name': 'svchost.exe'}
{'pid': 4776, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 4796, 'username': None, 'name': 'svchost.exe'}
{'pid': 4804, 'username': None, 'name': 'IntelAudioService.exe'}
{'pid': 4840, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'dllhost.exe'}
{'pid': 4876, 'username': None, 'name': 'jhi_service.exe'}
{'pid': 4904, 'username': None, 'name': 'MpDefenderCoreService.exe'}
{'pid': 5000, 'username': None, 'name': 'svchost.exe'}
{'pid': 5060, 'username': None, 'name': 'svchost.exe'}
{'pid': 5084, 'username': None, 'name': 'RtkBtManServ.exe'}
{'pid': 5092, 'username': None, 'name': 'SmartByteAnalyticsService.exe'}
{'pid': 5136, 'username': None, 'name': 'RstMwService.exe'}
{'pid': 5148, 'username': None, 'name': 'RtkAudUService64.exe'}
{'pid': 5156, 'username': None, 'name': 'svchost.exe'}
{'pid': 5172, 'username': None, 'name': 'sqlwriter.exe'}
{'pid': 5188, 'username': None, 'name': 'WavesAudioService.exe'}
{'pid': 5196, 'username': None, 'name': 'svchost.exe'}
{'pid': 5220, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'python.exe'}
{'pid': 5228, 'username': None, 'name': 'sqlceip.exe'}
{'pid': 5240, 'username': None, 'name': 'WavesSysSvc64.exe'}
{'pid': 5284, 'username': None, 'name': 'MsMpEng.exe'}
{'pid': 5312, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 5360, 'username': None, 'name': 'sqlservr.exe'}
{'pid': 5384, 'username': None, 'name': 'svchost.exe'}
{'pid': 5444, 'username': None, 'name': 'WMIRegistrationService.exe'}
{'pid': 5452, 'username': None, 'name': 'svchost.exe'}
{'pid': 5592, 'username': None, 'name': 'svchost.exe'}
{'pid': 5796, 'username': None, 'name': 'DDVDataCollector.exe'}
{'pid': 5904, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 6168, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 6188, 'username': None, 'name': 'svchost.exe'}
{'pid': 6256, 'username': None, 'name': 'RAPSService.exe'}
{'pid': 6504, 'username': None, 'name': 'RAPS.exe'}
{'pid': 6520, 'username': None, 'name': 'conhost.exe'}
{'pid': 6644, 'username': None, 'name': 'svchost.exe'}
{'pid': 6740, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'dptf_helper.exe'}
{'pid': 6836, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'WavesSvc64.exe'}
{'pid': 7072, 'username': None, 'name': 'NisSrv.exe'}
{'pid': 7232, 'username': None, 'name': 'svchost.exe'}
{'pid': 7268, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'WindowsTerminal.exe'}
{'pid': 7296, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'WZQKPICK.EXE'}
{'pid': 7352, 'username': None, 'name': 'svchost.exe'}
{'pid': 7536, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'dllhost.exe'}
{'pid': 7572, 'username': None, 'name': 'AggregatorHost.exe'}
{'pid': 7644, 'username': None, 'name': 'svchost.exe'}
{'pid': 7680, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 7900, 'username': None, 'name': 'dwm.exe'}
{'pid': 7988, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'svchost.exe'}
{'pid': 8092, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'SearchHost.exe'}
{'pid': 8148, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'WidgetService.exe'}
{'pid': 8228, 'username': None, 'name': 'servicehost.exe'}
{'pid': 8336, 'username': None, 'name': 'Dell.CoreServices.Client.exe'}
{'pid': 8348, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 8368, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 8484, 'username': None, 'name': 'Dell.TechHub.Analytics.SubAgent.exe'}
{'pid': 8592, 'username': None, 'name': 'Dell.TechHub.Diagnostics.SubAgent.exe'}
{'pid': 8624, 'username': None, 'name': 'conhost.exe'}
{'pid': 8700, 'username': None, 'name': 'conhost.exe'}
{'pid': 8748, 'username': None, 'name': 'Dell.DCF.UA.Bradbury.API.SubAgent.exe'}
{'pid': 8764, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 8836, 'username': None, 'name': 'conhost.exe'}
{'pid': 8964, 'username': None, 'name': 'Dell.TechHub.DataManager.SubAgent.exe'}
{'pid': 8984, 'username': None, 'name': 'conhost.exe'}
{'pid': 9080, 'username': None, 'name': 'Dell.TechHub.Instrumentation.SubAgent.exe'}
{'pid': 9088, 'username': None, 'name': 'svchost.exe'}
{'pid': 9160, 'username': None, 'name': 'conhost.exe'}
{'pid': 9164, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 9252, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 9292, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 9532, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'conhost.exe'}
{'pid': 9576, 'username': None, 'name': 'DDVCollectorSvcApi.exe'}
{'pid': 9588, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'conhost.exe'}
{'pid': 9676, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'ShellExperienceHost.exe'}
{'pid': 9796, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'powershell.exe'}
{'pid': 9888, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 9900, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 10296, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 10320, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 10684, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 10724, 'username': None, 'name': 'SearchIndexer.exe'}
{'pid': 10840, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 10872, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 11072, 'username': None, 'name': 'csrss.exe'}
{'pid': 11096, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Microsoft.SharePoint.exe'}
{'pid': 11372, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 11444, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 11456, 'username': None, 'name': 'DellSupportAssistRemedationService.exe'}
{'pid': 11488, 'username': None, 'name': 'svchost.exe'}
{'pid': 11492, 'username': None, 'name': 'svchost.exe'}
{'pid': 11676, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 11924, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 12028, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'svchost.exe'}
{'pid': 12312, 'username': None, 'name': 'svchost.exe'}
{'pid': 12316, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Widgets.exe'}
{'pid': 12528, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 12540, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 12640, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 12824, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'SecurityHealthSystray.exe'}
{'pid': 13028, 'username': None, 'name': 'svchost.exe'}
{'pid': 13072, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'ApplicationFrameHost.exe'}
{'pid': 13132, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'LocationNotificationWindows.exe'}
{'pid': 13228, 'username': None, 'name': 'RtkAudUService64.exe'}
{'pid': 13256, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 13448, 'username': None, 'name': 'SecurityHealthService.exe'}
{'pid': 13556, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 13576, 'username': None, 'name': 'Dell.TechHub.Instrumentation.UserProcess.exe'}
{'pid': 13732, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 13880, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'igfxEMN.exe'}
{'pid': 13912, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'SystemSettings.exe'}
{'pid': 13924, 'username': None, 'name': 'svchost.exe'}
{'pid': 13940, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'svchost.exe'}
{'pid': 14032, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'explorer.exe'}
{'pid': 14208, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'OneDrive.exe'}
{'pid': 14256, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 14384, 'username': None, 'name': 'svchost.exe'}
{'pid': 14564, 'username': None, 'name': 'DDVRulesProcessor.exe'}
{'pid': 14592, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 14664, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 14708, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'GitHubDesktop.exe'}
{'pid': 14856, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 14896, 'username': None, 'name': 'svchost.exe'}
{'pid': 15028, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'uihost.exe'}
{'pid': 15244, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 15336, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 15376, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'PhoneExperienceHost.exe'}
{'pid': 15384, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'svchost.exe'}
{'pid': 15520, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 15636, 'username': None, 'name': 'audiodg.exe'}
{'pid': 15700, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 15732, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'taskhostw.exe'}
{'pid': 15744, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'svchost.exe'}
{'pid': 15756, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 16140, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'UserOOBEBroker.exe'}
{'pid': 16156, 'username': None, 'name': 'svchost.exe'}
{'pid': 16404, 'username': None, 'name': 'winlogon.exe'}
{'pid': 16456, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'cmd.exe'}
{'pid': 16752, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 16804, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 16844, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'ctfmon.exe'}
{'pid': 16944, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
